driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,70,SISW EXPRESS INC.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,189,AMDE CORP,2012,TOYOTA,SIENNA GASOLINE N ,,,
Y,,249,ADI EXPRESS INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,448,TAXI CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,455,"GGA EXPRESS, INC.",2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,645,THREE DAUGHTERS CAB CO,2009,FORD,ESCAPE HYBRID N ,,,
Y,,818,GEBRAILE CORP,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1102,MBG CAB CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1271,MELAKE TESFAMICHAEL,2014,TOYOTA,RAV4,,,
Y,,1305,BALL CHICAGO INC,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1450,TSIGE CAB CORP 3,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1512,RAHEL EXPRESS INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1541,GG TT INC,2013,TOYOTA,PRIUS GASOLINE N ,,,
Y,,1857,AKI EXPRESS INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2010,KALIB INC,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2085,BAA CAB CO.,2013,TOYOTA,RAV4,,,
Y,,2138,AAROW TRANSPORTATION,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2421,SINGH USA INC.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,2883,SAMSON K CAB CO,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2886,SOL CAB CO,2011,CHEVROLET,HHR GASOLINE N ,,,
Y,,2982,SNY CAB INC,2013,TOYOTA,RAV4,,,
Y,,3073,MEKLETEELSA INC.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,3350,MENEN CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,3512,WUBET INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,3622,YRW CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,3760,GG TT INC,2011,CHEVROLET,HHR GASOLINE N ,,,
Y,,4316,AIC EXPRESS INC.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,4553,AAA EXPRESS TRANS CO.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,5054,YESHEMEBET CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5245,TSION CAB CORP.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,5247,GEBAR EXPRESS INC.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5399,MIDWEST RIDE INC,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,5463,MARY TRANS INC.,2012,TOYOTA,SIENNA GASOLINE N ,,,
Y,,5703,CAMBRI HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5738,CHICAGO TAXI EXPRESS INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,5758,C P TAXI CORPORATION,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5792,SAWA CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5803,TAYE EXPRESS INC,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5900,SOLZEW CO,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5917,ERENA CAB CO,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5918,SEGEN CAB CO,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5928,SENAIT AND YOSEIF,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5929,CHOICE EXPRESS CORP,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5944,FAST TRACK TAXI INC.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6053,SILUR HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6127,SILUR HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6139,DABRY CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6172,MARSOL TAXI CO.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6176,VOYAGER CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6198,DAHLAK CORP,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,6199,NEEYAT CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6228,ABM CAB CO,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6232,VOYAGER CORP,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6244,SEWIT CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6510,FAVEN CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6606,YW CAB CORPORATION,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6618,MN TAXI INC.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6708,CARBO HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6709,CARBO HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6710,PERM HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6711,PERM HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6744,TEDOM INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6799,HELEN HABTE CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
